"City","AgeMean","Age","Material","PipeMiles","LeakIndications"
1,8.24112269790633,5,"CS",4.24136582506691,2
1,7.67449678813969,5,"PL",130.749195883915,67
1,15.6606385273103,15,"CS",27.5861499391272,21
1,15.3743199842695,15,"PL",228.09006538524,95
1,24.6059712335753,25,"CS",23.5087197433346,13
1,24.5762052002234,25,"PL",135.658083230315,57
1,35.8852416396125,35,"CS",28.8887492196941,21
1,34.1914784106385,35,"PL",32.8334981146675,18
1,49.4297316186749,45,"BS",5.6985799249514,0
1,46.8934538921397,45,"CS",56.6943409100538,26
1,44.0560878401563,45,"PL",14.8618169712879,5
1,55.7615354848696,55,"BS",25.659700681384,12
1,54.4426189460755,55,"CS",102.142518754425,66
1,66.7166727569273,65,"BS",47.5650998757355,38
1,67.2034792839735,65,"CI",8.99488776239783,10
1,62.6797691297778,65,"CS",36.16281283391,33
1,75.9508019799034,75,"BS",43.7684561172639,38
1,75.9069185500223,75,"CI",8.2578998482963,7
1,85.0807195850874,85,"BS",39.047712711617,33
1,88.1097617510976,85,"CI",88.6661409562205,103
1,93.8860808782136,95,"BS",13.743806099504,25
1,93.8873028194989,95,"CI",197.54237149339,277
1,106.329890925116,105,"BS",9.69258745262773,17
1,106.434356282495,105,"CI",183.36506488635,260
1,114.76799501868,115,"BS",1.47712155222735,1
1,115.119093346163,115,"CI",184.537560713463,294
1,124.599291928032,125,"CI",125.488473492351,234
1,135.182482006037,135,"CI",9.97129673434103,22
1,145.271041574147,145,"CI",8.44854794063849,18
1,154.247675724231,155,"CI",2.00018456374675,5
1,164.672188595094,165,"CI",0.918401086780017,3
2,6.2117903930131,5,"CS",5.67121224709156,1
2,6.04221286831028,5,"PL",392.696513875126,108
2,15.3030303030303,15,"CS",19.3257466539004,3
2,15.537028623353,15,"PL",298.755688879572,81
2,25.8270676691729,25,"CS",8.82104323138623,2
2,25.2552105487027,25,"PL",202.096422887125,84
2,36.9678362573099,35,"CS",39.3637999127894,19
2,35.2016482553042,35,"PL",117.002002585255,60
2,47.2381339401821,45,"CS",143.631834754681,66
2,44.8617971623752,45,"PL",70.0337633424023,39
2,59.441712926249,55,"BS",60.3545048466069,23
2,54.6831096714484,55,"CS",266.281050150843,107
2,65.2184427959713,65,"BS",405.260968210011,184
2,67.2177942539388,65,"CI",29.2281133849489,13
2,75.187984496124,75,"BS",149.287324591386,104
2,75.0746887966805,75,"CI",31.6897920197069,21
2,85.9849796919304,85,"BS",329.235490689839,296
2,85.7502596053998,85,"CI",58.2921805753996,43
2,93.5070717653222,95,"BS",38.8472565204826,33
2,93.8105506353485,95,"CI",99.42575289363,76
2,104.625698324022,105,"BS",11.4299316798286,6
2,103.756880733945,105,"CI",28.9741404821678,19
2,112.41935483871,115,"BS",1.43801044274532,1
2,112.238095238095,115,"CI",0.859610763776119,0
3,8.12671232876712,5,"CS",1.27854379172214,0
3,8.02501786990708,5,"PL",66.3055458595015,40
3,16.4406130268199,15,"CS",7.48927394563329,4
3,16.8130831539014,15,"PL",114.827963193346,50
3,25.9011250540891,25,"CS",8.97482622777901,6
3,24.9646687697161,25,"PL",89.7315626216998,50
3,36.1092189135192,35,"CS",71.3167478088965,75
3,33.1104847801578,35,"PL",43.4665943180411,23
3,45.4984200743494,45,"CS",116.655509471847,157
3,44.0185185185185,45,"PL",3.07191923222458,1
3,55.4192932187202,55,"CS",158.249837081172,215
3,65.9748427672956,65,"CI",11.766817016145,19
3,62.4339093881364,65,"CS",34.4414158554447,51
3,76.4283536585366,75,"CI",12.0555863679255,27
3,86.6906300484653,85,"CI",20.7559801098721,46
3,93.9736842105263,95,"CI",32.0294327176597,71
3,103.618556701031,105,"CI",4.44493093664442,9
4,7.26478494623656,5,"PL",40.5128922765144,11
4,14.5627157652474,15,"PL",29.239261662016,8
4,26.5338983050847,25,"BS",2.51195155376812,1
4,25.4237288135593,25,"CS",2.63286871009051,0
4,25.6857949200376,25,"PL",38.0714690173527,4
4,36.3848920863309,35,"BS",7.247309221754,0
4,35.103274559194,35,"PL",27.4384890859841,11
4,45.6249027237354,45,"BS",23.7179152706741,12
4,48.6119402985075,45,"CS",2.53724225946235,2
4,44.2547332185886,45,"PL",20.9445106781737,7
4,56.8356164383562,55,"BS",0.960415588100506,0
4,55.9637133353493,55,"CS",71.4874748383211,21
4,66.6,65,"BS",3.46068521900049,1
4,65.6375545851528,65,"CI",16.3623576299399,18
4,62.6068222621185,65,"CS",12.4952491029001,0
4,75.1702127659574,75,"BS",0.670319118512797,0
4,76.121546961326,75,"CI",3.92747945889798,3
4,84.9636363636364,85,"BS",1.29618983232604,1
4,86.8087855297158,85,"CI",7.90236798344256,8
4,93.9467213114754,95,"CI",13.6533102500823,17
4,105.91363022942,105,"CI",17.3216886026043,19
4,114.362352941176,115,"CI",11.2188213352441,18
4,124.95,125,"CI",3.41643479069343,3
4,132.75,135,"CI",0.746778392075729,1
